Page,Code,Severity,Message,BBox
10,PAGE_SEQ_ERROR,warning,ลำดับหน้าผิด: เจอ 'ซ' แต่ควรเป็น 'ฌ',"[416.72, 0.0, 595.32, 97.2]"
41,TEXT_ALIGN_ERR,error,ชื่อหัวข้อย่อยเริ่มผิดตำแหน่ง: 103.1mm (ค่าที่กำหนด: 25.0mm),"[400.39, 159.38, 404.56, 171.98]"
54,FONT_SIZE,error,ขนาดผิด: 11.5pt (เจอ 'Ni=1'),"[199.61, 305.93, 210.16, 327.65]"
54,FONT_SIZE,error,ขนาดผิด: 11.5pt (เจอ 'X)'),"[328.97, 463.99, 335.96, 476.59]"
54,FONT_SIZE,error,ขนาดผิด: 11.5pt (เจอ 'N(N-1)'),"[301.49, 481.51, 322.64, 494.11]"
80,PAGE_SEQ_HIDDEN_ERR,error,รูปแบบหน้าผิด: หน้าแรกของบทต้องไม่แสดงเลขหน้า (เจอ '67'),"[0, 0, 595.32, 50]"
81,FONT_SIZE,error,ขนาดผิด: 13.1pt (เจอ 'กระบวนการไหลของข้าวต้มมัดไส้กล้วยแบบใช้แรงงานคนในผลิต (6 คน)'),"[195.12, 108.73, 436.07, 123.03]"
81,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'คน (Man type)'),"[142.53, 123.93, 194.16, 137.15]"
81,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'วัสดุ (Material type)'),"[223.55, 123.93, 299.66, 137.15]"
81,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'เครื่องจักร (Machine type)'),"[330.36, 123.93, 427.07, 137.15]"
81,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'อื่นๆ (Other)'),"[458.74, 123.93, 506.45, 137.15]"
81,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'ชื่อขบวนการ  (SUBJECT CGARTED) : ............................................................ วันที่ (DATE) : …...........................................'),"[116.06, 136.99, 506.05, 150.22]"
81,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ '….....................................................................................'),"[185.97, 151.05, 358.32, 164.27]"
81,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'จัดท าโดย (CHART BY) : …..........................'),"[368.57, 151.05, 506.08, 164.27]"
81,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ '….....................................................................................'),"[185.97, 165.09, 358.32, 178.31]"
81,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'หมายเลขเอกสาร (CHART NO) : ................'),"[368.25, 165.09, 506.41, 178.31]"
81,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'ฝ่าย (DEPARTMENT)'),"[116.06, 165.42, 187.6, 178.64]"
81,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'สถานะ (Method) : ..........................................................................................'),"[116.06, 179.14, 357.65, 192.36]"
